n size max even_max core ratio core_over_prev_max holes_below_prev_max missing_primes first_missing_prime
0 1 1 0 1 1 1 0 0 0
1 2 2 2 2 2 2 0 0 0
2 3 3 2 3 1.5 1.5 0 0 0
3 4 5 2 3 1.33333333333 1 0 0 0
4 6 7 4 5 1.5 1 0 0 0
5 8 11 6 7 1.33333333333 1 0 0 0
6 12 17 8 9 1.5 0.818181818182 1 0 0
7 18 23 14 15 1.5 0.882352941176 1 0 0
8 25 37 20 21 1.38888888889 0.913043478261 1 0 0
9 38 53 34 31 1.52 0.837837837838 3 0 0
10 56 83 50 45 1.47368421053 0.849056603774 4 0 0
11 89 131 78 73 1.58928571429 0.879518072289 3 0 0
12 138 199 122 120 1.55056179775 0.916030534351 7 0 0
13 218 317 198 183 1.57971014493 0.91959798995 1 0 0
14 342 509 314 285 1.56880733945 0.89905362776 6 0 0
15 547 823 506 483 1.59941520468 0.948919449902 8 0 0
16 882 1327 822 787 1.61243144424 0.956257594168 15 0 0
17 1429 2143 1324 1315 1.6201814059 0.990957045968 5 0 0
18 2299 3467 2142 2103 1.60881735479 0.981334577695 6 0 0
19 3705 5591 3464 3405 1.61157024793 0.982117104125 14 0 0
20 5961 9049 5586 5542 1.60890688259 0.991235914863 17 0 0
21 9615 14629 9046 8898 1.61298439859 0.983313073268 22 0 0
22 15524 23671 14628 14509 1.61456058242 0.991797115319 26 0 0
23 25057 38299 23670 23478 1.61408142231 0.991846563305 22 0 0
24 40442 61949 38290 38043 1.61400007982 0.99331575237 41 0 0
25 65247 100213 61938 61603 1.61334751001 0.994414760529 85 0 0
26 105412 162143 100210 99916 1.61558385826 0.997036312654 54 0 0
27 170224 262331 162126 161833 1.61484460972 0.998088107411 71 1 262321
28 274963 424429 262322 261858 1.61530101513 0.998196934407 86 1 424423
29 444156 686737 424390 423951 1.61533006259 0.998873781009 95 4 686687
30 717551 1111087 686704 686121 1.61553823431 0.999103004498 160 2 1111031
31 1159406 1797673 1111072 1110774 1.6157820141 0.999718293887 43 0 0
32 1873356 2908723 1797670 1796920 1.61578946461 0.999581125155 119 0 0
